control_id,model,train_records,validation_records,test_records,test_positives,test_negatives,validation_selected_threshold,validation_f1,test_pr_auc,test_roc_auc,test_brier,test_f1,test_precision,test_recall,test_false_alarms,test_true_positives,test_false_negatives,first_true_alert_date,first_true_alert_lead_days,interpretation
training_prevalence,Training-prevalence constant,27,7,9,4,5,0.296296296296,0.444444444444,0.444444444444,0.500000000000,0.268861454047,0.615384615385,0.444444444444,1.000000000000,5,4,0,2022-04-10,27,Reference prevalence only; no temporal discrimination.
doy_scalar_logistic,Day-of-year scalar logistic,27,7,9,4,5,0.306182861536,1.000000000000,1.000000000000,1.000000000000,0.241421922506,0.666666666667,1.000000000000,0.500000000000,0,2,2,2022-04-26,11,Calendar-only control; perfect ranking is compatible with monotonic seasonal ordering of the nine test anchors.
doy_harmonic_logistic,Day-of-year harmonic logistic,27,7,9,4,5,0.204905595305,1.000000000000,1.000000000000,1.000000000000,0.298775108961,0.666666666667,1.000000000000,0.500000000000,0,2,2,2022-04-26,11,Calendar-only control; perfect ranking is compatible with monotonic seasonal ordering of the nine test anchors.
