model,model_label,seed,anchor_date,days_to_event_start,label,probability,selected_threshold,alert,source_file
cnn,CNN,123,2022-03-25,43,0,0.11572265625,0.1826171875,0,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-02,35,0,0.96875,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-10,27,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-18,19,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-26,11,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-05-04,3,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-01,67,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-09,59,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-17,51,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-25,43,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-02,35,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-10,27,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-18,19,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-26,11,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-05-04,3,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-01,67,0,0.004913330078125,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-09,59,0,0.004913330078125,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-17,51,0,0.0047607421875,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-25,43,0,0.005218505859375,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-04-02,35,0,0.056640625,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-04-10,27,1,0.119140625,0.103515625,1,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-04-18,19,1,0.119140625,0.103515625,1,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-04-26,11,1,0.119140625,0.103515625,1,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-05-04,3,1,0.119140625,0.103515625,1,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-03-01,67,0,0.00016880035400390625,0.5,0,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-03-09,59,0,0.00016880035400390625,0.5,0,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-03-17,51,0,0.00016880035400390625,0.5,0,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-03-25,43,0,0.0001583099365234375,0.5,0,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-04-02,35,0,0.875,0.5,1,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-04-10,27,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-04-18,19,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-04-26,11,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,42,2022-05-04,3,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_42/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-03-01,67,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-03-09,59,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-03-17,51,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-03-25,43,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-04-02,35,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-04-10,27,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-04-18,19,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-04-26,11,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,84,2022-05-04,3,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_84/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-03-01,67,0,0.9296875,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-03-09,59,0,0.9375,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-03-17,51,0,0.9921875,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-03-25,43,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-04-02,35,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-04-10,27,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-04-18,19,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-04-26,11,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,123,2022-05-04,3,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_123/pi_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-03-01,67,0,0.007568359375,0.03955078125,0,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-03-09,59,0,0.007568359375,0.03955078125,0,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-03-17,51,0,0.01068115234375,0.03955078125,0,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-03-25,43,0,0.02001953125,0.03955078125,0,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-04-02,35,0,0.036865234375,0.03955078125,0,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-04-10,27,1,0.040771484375,0.03955078125,1,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-04-18,19,1,0.040771484375,0.03955078125,1,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-04-26,11,1,0.040771484375,0.03955078125,1,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,7,2022-05-04,3,1,0.040771484375,0.03955078125,1,/mnt/data/_points/causal30_v1/seed_7/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-03-01,67,0,0.0025482177734375,0.5859375,0,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
plain_gnn,Plain-GNN,21,2022-03-09,59,0,0.00262451171875,0.5859375,0,/mnt/data/_points/causal30_v1/seed_21/plain_gnn/predictions_test.npz
